//以下全部出自网络和大佬资源，如有冒犯请联系删除。[所有内容仅供学习使用，请勿用于违法用途]
//
💝中国港澳👉天天,#genre#
TVB星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8
无线新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
无线娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
TVB功夫台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8

💝央视频道👉开心,#genre#
CCTV1,http://60.6.255.8:2180/live/cctv1/index.m3u8
CCTV2,http://60.6.255.8:2180/live/cctv2/index.m3u8
CCTV3,http://60.6.255.8:2180/live/cctv3/index.m3u8
CCTV4,http://60.6.255.8:2180/live/cctv4/index.m3u8
CCTV5,http://60.6.255.8:2180/live/cctv5/index.m3u8
CCTV5+,http://60.6.255.8:2180/live/cctv5q/index.m3u8
CCTV6,http://60.6.255.8:2180/live/cctv6/index.m3u8
CCTV7,http://60.6.255.8:2180/live/cctv7/index.m3u8
CCTV8,http://60.6.255.8:2180/live/cctv8/index.m3u8
CCTV9,http://60.6.255.8:2180/live/cctv9/index.m3u8
CCTV10,http://60.6.255.8:2180/live/cctv10/index.m3u8
CCTV11,http://60.6.255.8:2180/live/cctv11/index.m3u8
CCTV12,http://60.6.255.8:2180/live/cctv12/index.m3u8
CCTV13,http://60.6.255.8:2180/live/cctv13/index.m3u8
CCTV14,http://60.6.255.8:2180/live/cctv14/index.m3u8
CCTV15,http://60.6.255.8:2180/live/cctv15/index.m3u8
CCTV17,http://60.6.255.8:2180/live/cctv17/index.m3u8

CCTV-4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-4K,https://tv.cry33.com/ys4k.php?id=4k
CCTV-8K,https://tv.cry33.com/ys4k.php?id=8k
CCTV1,http://dp.sxtv.top:88/md/migu.php?id=cctv1 
CCTV2,http://dp.sxtv.top:88/md/migu.php?id=cctv2 
CCTV3,http://dp.sxtv.top:88/md/migu.php?id=cctv3 
CCTV4,http://dp.sxtv.top:88/md/migu.php?id=cctv4 
CCTV4,http://dp.sxtv.top:88/md/migu.php?id=cctv4a 
 CCTV4,http://dp.sxtv.top:88/md/migu.php?id=cctv4o 
CCTV5,http://116.162.6.191/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel5/1300.m3u8
CCTV5+,http://116.162.6.191/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel13/1300.m3u8
CCTV6,http://dp.sxtv.top:88/md/migu.php?id=cctv6 
CCTV7,http://dp.sxtv.top:88/md/migu.php?id=cctv7 
CCTV8,http://dp.sxtv.top:88/md/migu.php?id=cctv8 
CCTV9,http://dp.sxtv.top:88/md/migu.php?id=cctv9 
CCTV10,http://dp.sxtv.top:88/md/migu.php?id=cctv10
CCTV11,http://dp.sxtv.top:88/md/migu.php?id=cctv11 
CCTV12,http://dp.sxtv.top:88/md/migu.php?id=cctv12 
CCTV13,http://dp.sxtv.top:88/md/migu.php?id=cctv13 
CCTV14,http://dp.sxtv.top:88/md/migu.php?id=cctv14 
CCTV15,http://dp.sxtv.top:88/md/migu.php?id=cctv15 
CCTV17,http://dp.sxtv.top:88/md/migu.php?id=cctv17 



